method,controller,speed,side,force_N,rate_or_t_nr,roll_deg,rate_rad_s,v_catch_m_s,t_flat_s,roll_max_ok_deg
cold,general_rl,0.0,1,,-1.0,20.625,,,,18.0
cold,general_rl,0.0,1,,0.0,16.312,,,,15.0
cold,general_rl,0.0,1,,1.0,12.562,,,,12.0
cold,general_rl,0.0,1,,2.0,8.812,,,,6.0
cold,general_rl,0.0,1,,3.0,3.0,,,,3.0
cold,general_rl,0.0,1,,4.0,0.0,,,,0.0
cold,general_rl,0.0,1,,5.0,0.0,,,,0.0
cold,general_rl,0.0,1,,6.0,0.0,,,,0.0
cold,general_rl,0.0,-1,,-1.0,16.5,,,,15.0
cold,general_rl,0.0,-1,,0.0,11.812,,,,9.0
cold,general_rl,0.0,-1,,1.0,4.688,,,,3.0
cold,general_rl,0.0,-1,,2.0,2.625,,,,0.0
cold,general_rl,0.0,-1,,3.0,0.375,,,,0.0
cold,general_rl,0.0,-1,,4.0,0.0,,,,0.0
cold,general_rl,0.0,-1,,5.0,0.0,,,,0.0
cold,general_rl,0.0,-1,,6.0,0.0,,,,0.0
cold,general_rl,0.4,1,,-1.0,28.125,,,,27.0
cold,general_rl,0.4,1,,0.0,24.0,,,,24.0
cold,general_rl,0.4,1,,1.0,18.75,,,,18.0
cold,general_rl,0.4,1,,2.0,11.438,,,,9.0
cold,general_rl,0.4,1,,3.0,7.875,,,,6.0
cold,general_rl,0.4,1,,4.0,2.062,,,,0.0
cold,general_rl,0.4,1,,5.0,0.0,,,,0.0
cold,general_rl,0.4,1,,6.0,0.0,,,,0.0
cold,general_rl,0.4,-1,,-1.0,13.125,,,,12.0
cold,general_rl,0.4,-1,,0.0,10.5,,,,9.0
cold,general_rl,0.4,-1,,1.0,7.5,,,,6.0
cold,general_rl,0.4,-1,,2.0,1.312,,,,0.0
cold,general_rl,0.4,-1,,3.0,0.0,,,,0.0
cold,general_rl,0.4,-1,,4.0,0.0,,,,0.0
cold,general_rl,0.4,-1,,5.0,0.0,,,,0.0
cold,general_rl,0.4,-1,,6.0,0.0,,,,0.0
cold,general_rl,0.8,1,,-1.0,30.938,,,,30.0
cold,general_rl,0.8,1,,0.0,24.188,,,,24.0
cold,general_rl,0.8,1,,1.0,17.812,,,,15.0
cold,general_rl,0.8,1,,2.0,12.562,,,,12.0
cold,general_rl,0.8,1,,3.0,8.812,,,,6.0
cold,general_rl,0.8,1,,4.0,3.562,,,,3.0
cold,general_rl,0.8,1,,5.0,0.375,,,,0.0
cold,general_rl,0.8,1,,6.0,0.0,,,,0.0
cold,general_rl,0.8,-1,,-1.0,16.312,,,,15.0
cold,general_rl,0.8,-1,,0.0,12.188,,,,12.0
cold,general_rl,0.8,-1,,1.0,9.0,,,,9.0
cold,general_rl,0.8,-1,,2.0,4.5,,,,3.0
cold,general_rl,0.8,-1,,3.0,0.0,,,,0.0
cold,general_rl,0.8,-1,,4.0,0.0,,,,0.0
cold,general_rl,0.8,-1,,5.0,0.0,,,,0.0
cold,general_rl,0.8,-1,,6.0,0.0,,,,0.0
pulse,general_rl,0.0,-1,2.0,0.1441,-3.189,-0.69,0.523,0.3186,
pulse,general_rl,0.0,-1,4.0,0.1031,-1.521,0.734,0.549,0.2348,
pulse,general_rl,0.0,-1,8.0,0.0363,-1.059,0.056,0.51,0.2414,
pulse,general_rl,0.0,1,-2.0,nan,nan,nan,nan,nan,
pulse,general_rl,0.0,1,-4.0,0.0832,6.648,1.349,0.306,0.4162,
pulse,general_rl,0.0,1,-8.0,0.0387,6.264,2.533,0.085,0.3562,
pulse,general_rl,0.4,-1,2.0,0.1816,-1.1,1.153,0.424,0.2336,
pulse,general_rl,0.4,1,4.0,0.0879,2.967,-0.07,-0.587,0.2464,
pulse,general_rl,0.4,-1,8.0,0.0422,-0.739,0.106,0.568,0.278,
pulse,general_rl,0.4,1,-2.0,0.1852,3.213,1.038,0.502,0.317,
pulse,general_rl,0.4,1,-4.0,0.1676,13.598,1.438,0.512,0.5556,
pulse,general_rl,0.4,1,-8.0,0.0328,4.963,3.79,-0.231,0.467,
pulse,general_rl,0.8,1,2.0,0.5344,4.41,-1.398,-0.478,0.4714,
pulse,general_rl,0.8,-1,4.0,0.0832,0.728,0.489,0.47,0.2388,
pulse,general_rl,0.8,1,8.0,0.0328,-1.284,-1.197,-0.254,0.2322,
pulse,general_rl,0.8,1,-2.0,nan,nan,nan,nan,nan,
pulse,general_rl,0.8,1,-4.0,0.1594,7.556,1.716,0.56,0.5636,
pulse,general_rl,0.8,1,-8.0,0.0562,6.212,1.547,0.369,0.4802,
