method,controller,speed,side,force_N,rate_or_t_nr,roll_deg,rate_rad_s,v_catch_m_s,t_flat_s,roll_max_ok_deg
cold,lqr,0.0,1,,-1.0,12.0,,,,12.0
cold,lqr,0.0,1,,0.0,8.062,,,,6.0
cold,lqr,0.0,1,,1.0,2.812,,,,0.0
cold,lqr,0.0,1,,2.0,0.0,,,,0.0
cold,lqr,0.0,1,,3.0,0.0,,,,0.0
cold,lqr,0.0,1,,4.0,0.0,,,,0.0
cold,lqr,0.0,1,,5.0,0.0,,,,0.0
cold,lqr,0.0,1,,6.0,0.0,,,,0.0
cold,lqr,0.0,-1,,-1.0,12.0,,,,12.0
cold,lqr,0.0,-1,,0.0,8.062,,,,6.0
cold,lqr,0.0,-1,,1.0,2.812,,,,0.0
cold,lqr,0.0,-1,,2.0,0.0,,,,0.0
cold,lqr,0.0,-1,,3.0,0.0,,,,0.0
cold,lqr,0.0,-1,,4.0,0.0,,,,0.0
cold,lqr,0.0,-1,,5.0,0.0,,,,0.0
cold,lqr,0.0,-1,,6.0,0.0,,,,0.0
cold,lqr,0.4,1,,-1.0,9.375,,,,9.0
cold,lqr,0.4,1,,0.0,4.688,,,,3.0
cold,lqr,0.4,1,,1.0,0.0,,,,0.0
cold,lqr,0.4,1,,2.0,0.0,,,,0.0
cold,lqr,0.4,1,,3.0,0.0,,,,0.0
cold,lqr,0.4,1,,4.0,0.0,,,,0.0
cold,lqr,0.4,1,,5.0,0.0,,,,0.0
cold,lqr,0.4,1,,6.0,0.0,,,,0.0
cold,lqr,0.4,-1,,-1.0,9.375,,,,9.0
cold,lqr,0.4,-1,,0.0,4.688,,,,3.0
cold,lqr,0.4,-1,,1.0,0.0,,,,0.0
cold,lqr,0.4,-1,,2.0,0.0,,,,0.0
cold,lqr,0.4,-1,,3.0,0.0,,,,0.0
cold,lqr,0.4,-1,,4.0,0.0,,,,0.0
cold,lqr,0.4,-1,,5.0,0.0,,,,0.0
cold,lqr,0.4,-1,,6.0,0.0,,,,0.0
cold,lqr,0.8,1,,-1.0,13.312,,,,12.0
cold,lqr,0.8,1,,0.0,9.375,,,,9.0
cold,lqr,0.8,1,,1.0,4.125,,,,3.0
cold,lqr,0.8,1,,2.0,0.0,,,,0.0
cold,lqr,0.8,1,,3.0,0.0,,,,0.0
cold,lqr,0.8,1,,4.0,0.0,,,,0.0
cold,lqr,0.8,1,,5.0,0.0,,,,0.0
cold,lqr,0.8,1,,6.0,0.0,,,,0.0
cold,lqr,0.8,-1,,-1.0,13.312,,,,12.0
cold,lqr,0.8,-1,,0.0,9.375,,,,9.0
cold,lqr,0.8,-1,,1.0,3.938,,,,3.0
cold,lqr,0.8,-1,,2.0,0.0,,,,0.0
cold,lqr,0.8,-1,,3.0,0.0,,,,0.0
cold,lqr,0.8,-1,,4.0,0.0,,,,0.0
cold,lqr,0.8,-1,,5.0,0.0,,,,0.0
cold,lqr,0.8,-1,,6.0,0.0,,,,0.0
pulse,lqr,0.0,1,2.0,0.0691,0.842,0.292,-0.302,0.3246,
pulse,lqr,0.0,1,4.0,0.034,0.286,0.474,-0.292,0.3404,
pulse,lqr,0.0,1,8.0,0.0164,-0.058,0.431,-0.25,0.2982,
pulse,lqr,0.0,-1,-2.0,0.0691,0.854,0.286,-0.301,0.324,
pulse,lqr,0.0,-1,-4.0,0.034,0.303,0.473,-0.292,0.3408,
pulse,lqr,0.0,-1,-8.0,0.0164,-0.05,0.437,-0.251,0.2976,
pulse,lqr,0.4,-1,2.0,0.041,0.019,0.069,0.077,0.263,
pulse,lqr,0.4,-1,4.0,0.0199,0.008,-0.025,0.088,0.2474,
pulse,lqr,0.4,-1,8.0,0.0094,0.072,0.025,0.068,0.2462,
pulse,lqr,0.4,1,-2.0,0.041,-0.003,0.069,0.077,0.2676,
pulse,lqr,0.4,1,-4.0,0.0199,0.004,-0.024,0.088,0.2616,
pulse,lqr,0.4,1,-8.0,0.0094,0.071,0.021,0.069,0.2754,
pulse,lqr,0.8,-1,2.0,0.0914,0.305,0.39,0.115,0.2482,
pulse,lqr,0.8,-1,4.0,0.0398,0.428,0.629,0.085,0.2448,
pulse,lqr,0.8,-1,8.0,0.0187,0.255,0.467,0.114,0.2658,
pulse,lqr,0.8,1,-2.0,0.0914,0.307,0.382,0.115,0.2454,
pulse,lqr,0.8,1,-4.0,0.041,0.6,0.64,0.084,0.2552,
pulse,lqr,0.8,1,-8.0,0.0187,0.253,0.454,0.116,0.25,
